source,age_ka,age,d18O,d18O_sw,sealevel
846 Liseicki,259.36,0.25936,3.82,0.79,-63.23
846 Liseicki,262.05,0.26205,3.82,0.8,-63.64
846 Liseicki,264.64,0.26464,3.74,0.71,-56.86
846 Liseicki,267.31,0.26731,3.74,0.72,-57.28
846 Liseicki,268.42,0.26842,3.78,0.75,-60.09
846 Liseicki,269.75,0.26975,3.63,0.6,-48.1
846 Liseicki,272.15,0.27215,3.85,0.82,-65.71
846 Liseicki,272.71,0.27271,3.75,0.72,-57.72
846 Liseicki,275.77,0.27577,3.84,0.81,-64.94
846 Liseicki,277.71,0.27771,3.63,0.6,-48.15
846 Liseicki,278.55,0.27855,3.6,0.57,-45.76
846 Liseicki,280.62,0.28062,3.41,0.38,-30.17
846 Liseicki,282.43,0.28243,3.37,0.34,-27.39
846 Liseicki,284.01,0.28401,3.17,0.14,-11.4
846 Liseicki,284.59,0.28459,3.23,0.2,-16.2
846 Liseicki,285.58,0.28558,3.2,0.17,-13.81
846 Liseicki,286.36,0.28636,3.3,0.27,-21.81
846 Liseicki,287.23,0.28723,3.31,0.28,-22.62
846 Liseicki,288.46,0.28846,3.21,0.18,-14.63
846 Liseicki,290.84,0.29084,3.26,0.23,-18.24
846 Liseicki,293.91,0.29391,3.48,0.45,-36.26
846 Liseicki,297.87,0.29787,3.39,0.36,-29.09
846 Liseicki,301.02,0.30102,3.32,0.29,-23.52
846 Liseicki,303.48,0.30348,3.5,0.47,-37.97
846 Liseicki,305.54,0.30554,3.26,0.24,-18.81
846 Liseicki,307.69,0.30769,3.23,0.21,-16.45
846 Liseicki,309.13,0.30913,3.19,0.17,-13.27
846 Liseicki,311.77,0.31177,3.21,0.19,-14.92
846 Liseicki,314.88,0.31488,2.95,-0.07,5.82
846 Liseicki,316.08,0.31608,3.16,0.14,-11
846 Liseicki,317.27,0.31727,3.09,0.06,-5.03
846 Liseicki,319.19,0.31919,3.41,0.68,-54.06
846 Liseicki,319.75,0.31975,3.1,0.37,-29.27
846 Liseicki,323,0.323,2.61,-0.12,9.93
846 Liseicki,323.79,0.32379,2.61,-0.12,9.93
846 Liseicki,326.53,0.32653,2.72,-0.01,1.13
846 Liseicki,329.05,0.32905,2.83,-0.19,15.15
846 Liseicki,329.52,0.32952,3.1,0.08,-6.45
846 Liseicki,333.22,0.33322,3.09,0.07,-5.72
846 Liseicki,334.89,0.33489,3.29,0.27,-21.35
846 Liseicki,337.3,0.3373,4,0.98,-78.59
846 Liseicki,337.7,0.3377,3.64,0.62,-49.8
846 Liseicki,339.12,0.33912,3.99,0.97,-77.82
846 Liseicki,339.53,0.33953,3.79,0.77,-61.83
846 Liseicki,340.34,0.34034,3.93,0.91,-73.04
846 Liseicki,341.19,0.34119,4.11,1.09,-87.46
846 Liseicki,341.62,0.34162,3.97,0.95,-76.27
846 Liseicki,343.04,0.34304,3.96,0.95,-75.89
846 Liseicki,344.65,0.34465,4.07,1.05,-84.32
846 Liseicki,345.15,0.34515,3.77,0.75,-60.33
846 Liseicki,347.98,0.34798,3.91,0.89,-71.59
846 Liseicki,351.07,0.35107,3.91,0.9,-71.64
846 Liseicki,353.27,0.35327,3.99,0.98,-78.08
846 Liseicki,354.76,0.35476,3.89,0.88,-70.11
846 Liseicki,355.99,0.35599,3.95,0.94,-74.93
846 Liseicki,357.47,0.35747,3.88,0.87,-69.36
846 Liseicki,358.95,0.35895,4.29,1.28,-102.18
846 Liseicki,361.42,0.36142,3.57,0.56,-44.64
846 Liseicki,365.02,0.36502,3.44,0.43,-34.31
846 Liseicki,368.88,0.36888,3.91,0.9,-71.97
846 Liseicki,372.46,0.37246,3.49,0.48,-38.44
846 Liseicki,375.22,0.37522,3.49,0.48,-38.49
846 Liseicki,377.42,0.37742,3.47,0.46,-36.93
846 Liseicki,379.9,0.3799,3.37,0.36,-28.98
846 Liseicki,382.38,0.38238,3.45,0.44,-35.43
846 Liseicki,385.76,0.38576,3.28,0.27,-21.89
846 Liseicki,389.01,0.38901,3.08,0.07,-5.95
846 Liseicki,392.78,0.39278,3.16,0.16,-12.42
846 Liseicki,395.05,0.39505,2.87,-0.13,10.73
846 Liseicki,396.3,0.3963,2.88,-0.12,9.91
846 Liseicki,397.56,0.39756,2.56,-0.17,13.93
846 Liseicki,399.58,0.39958,2.57,-0.16,13.13
846 Liseicki,400.33,0.40033,2.62,-0.11,9.13
846 Liseicki,403.1,0.4031,2.43,-0.3,24.32
846 Liseicki,405.87,0.40587,2.67,-0.06,5.13
846 Liseicki,408.83,0.40883,2.7,-0.03,2.73
846 Liseicki,412.3,0.4123,2.84,-0.16,12.69
846 Liseicki,416.51,0.41651,3.08,0.08,-6.23
846 Liseicki,420.14,0.42014,3.7,0.7,-56.32
846 Liseicki,424.04,0.42404,3.89,0.9,-71.63
846 Liseicki,426.84,0.42684,4.17,1.18,-94.11
846 Liseicki,430.01,0.43001,4.28,1.29,-103.4
846 Liseicki,433.01,0.43301,4.28,1.29,-103.09
846 Liseicki,436.3,0.4363,4.36,1.37,-109.98
846 Liseicki,438.33,0.43833,4.28,1.29,-103.24
846 Liseicki,440.11,0.44011,3.87,0.88,-70.49
846 Liseicki,441.55,0.44155,4.06,1.07,-85.73
846 Liseicki,445.04,0.44504,3.82,0.83,-66.63
846 Liseicki,446.69,0.44669,3.82,0.83,-66.68
846 Liseicki,447.99,0.44799,3.89,0.91,-72.72
846 Liseicki,449.28,0.44928,3.82,0.83,-66.76
846 Liseicki,450.57,0.45057,3.8,0.81,-65.19
846 Liseicki,453.02,0.45302,3.79,0.81,-64.46
846 Liseicki,453.41,0.45341,3.88,0.9,-71.67
846 Liseicki,454.34,0.45434,3.91,0.93,-74.1
846 Liseicki,454.83,0.45483,3.81,0.83,-66.11
846 Liseicki,456.06,0.45606,4,1.02,-81.35
846 Liseicki,457.99,0.45799,4.07,1.09,-87
846 Liseicki,460.03,0.46003,3.95,0.97,-77.46
846 Liseicki,462.5,0.4625,3.97,0.99,-79.13
846 Liseicki,464.95,0.46495,4,1.02,-81.6
846 Liseicki,467.98,0.46798,3.79,0.81,-64.89
846 Liseicki,471.24,0.47124,3.62,0.64,-51.39
846 Liseicki,474.46,0.47446,3.4,0.42,-33.88
846 Liseicki,477.67,0.47767,3.44,0.46,-37.17
846 Liseicki,482.82,0.48282,3.29,0.32,-25.32
